epoch,map,mar
1,0.18567435443401337,0.3036900460720062
2,0.46154579520225525,0.5391144156455994
3,0.5745587944984436,0.6391143798828125
4,0.5672414898872375,0.6295202970504761
5,0.6058933138847351,0.6785978078842163
6,0.5587253570556641,0.6269372701644897
7,0.6324079036712646,0.6970479488372803
8,0.5695946216583252,0.6597785949707031
9,0.6292985677719116,0.6952029466629028
10,0.6348406076431274,0.7158671617507935
11,0.6659585237503052,0.7199261784553528
12,0.668311357498169,0.7214022278785706
13,0.6877888441085815,0.7446494698524475
14,0.6636028289794922,0.7332103252410889
15,0.6051068902015686,0.668265700340271
16,0.6990466117858887,0.7509225010871887
17,0.6950182914733887,0.7494465112686157
18,0.6887827515602112,0.7505534887313843
19,0.6915154457092285,0.7542435526847839
20,0.7059738636016846,0.7586715817451477
21,0.6955130100250244,0.7571955919265747
22,0.7009042501449585,0.7498155236244202
23,0.7036095857620239,0.7531365156173706
24,0.7078240513801575,0.7623616456985474
25,0.7034658193588257,0.7601476311683655
26,0.707719624042511,0.7586715817451477
27,0.7067506909370422,0.7590405941009521
28,0.7101275324821472,0.7594096064567566
29,0.7094846367835999,0.7568265795707703
30,0.7098196148872375,0.7571955919265747
