epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7875,1.91061,6.6051,2.60808,0.79084,0.57374,0.67287,0.39378,1.27299,1.45392,1.96019,0.00166407,0.00166407,0.0683827
2,155.576,1.29013,1.47988,1.9756,0.86187,0.63638,0.75815,0.43542,1.23914,1.33944,1.88572,0.00326478,0.00326478,0.0366501
3,230.251,1.25875,1.36446,1.9604,0.80478,0.67683,0.77089,0.48083,1.12659,1.18529,1.81993,0.0047995,0.0047995,0.0048515
4,307.633,1.26952,1.32147,1.96424,0.79848,0.6194,0.71192,0.42239,1.17933,1.42062,1.87884,0.004703,0.004703,0.004703
5,380.108,1.196,1.277,1.87985,0.85494,0.73307,0.81124,0.52652,0.98619,1.14706,1.66892,0.004604,0.004604,0.004604
6,454.982,1.14702,1.12898,1.84792,0.88714,0.70398,0.80986,0.50343,1.15865,1.14776,1.91537,0.004505,0.004505,0.004505
7,527.08,1.10409,1.0821,1.79688,0.91441,0.77072,0.83595,0.55221,1.02925,1.22063,1.66887,0.004406,0.004406,0.004406
8,601.914,1.05022,1.00644,1.75562,0.93059,0.81841,0.87831,0.59392,0.94338,0.85486,1.59401,0.004307,0.004307,0.004307
9,673.381,0.95696,0.88301,1.64361,0.89586,0.79851,0.85365,0.56126,0.98761,0.95547,1.60231,0.004208,0.004208,0.004208
10,748.496,0.95249,0.84413,1.64384,0.93273,0.83582,0.89154,0.62938,0.93767,0.77041,1.58995,0.004109,0.004109,0.004109
11,824.786,0.89803,0.8143,1.56178,0.89646,0.81841,0.8828,0.5718,1.03151,0.89004,1.71407,0.00401,0.00401,0.00401
12,895.343,0.88664,0.73186,1.57284,0.93217,0.8408,0.90958,0.66184,0.86282,0.67437,1.47069,0.003911,0.003911,0.003911
13,969.616,0.84847,0.679,1.51817,0.89773,0.8516,0.90159,0.64119,0.93337,0.80884,1.55841,0.003812,0.003812,0.003812
14,1039.85,0.83314,0.64492,1.48562,0.95055,0.86077,0.91489,0.66761,0.8826,0.75501,1.5241,0.003713,0.003713,0.003713
15,1116.14,0.81812,0.61804,1.46283,0.94733,0.85017,0.91081,0.65906,0.87488,0.69114,1.48447,0.003614,0.003614,0.003614
16,1192.76,0.77032,0.60422,1.40855,0.94143,0.83961,0.9077,0.66772,0.8317,0.74472,1.47732,0.003515,0.003515,0.003515
17,1262.97,0.75543,0.55744,1.40785,0.91677,0.84939,0.90845,0.6583,0.86626,0.72855,1.50726,0.003416,0.003416,0.003416
18,1334.44,0.73178,0.53588,1.3715,0.96129,0.86484,0.91659,0.67294,0.84646,0.72976,1.47062,0.003317,0.003317,0.003317
19,1406.04,0.71286,0.49567,1.34202,0.95808,0.86816,0.92302,0.68562,0.85659,0.68773,1.4954,0.003218,0.003218,0.003218
20,1480.76,0.69935,0.50925,1.33311,0.89102,0.89303,0.91559,0.67314,0.84428,0.74522,1.47096,0.003119,0.003119,0.003119
21,1550.65,0.68352,0.46982,1.31325,0.94946,0.86318,0.92242,0.68718,0.84149,0.64245,1.45581,0.00302,0.00302,0.00302
22,1622.39,0.69139,0.47409,1.32758,0.94312,0.87065,0.92677,0.66536,0.80002,0.67549,1.46333,0.002921,0.002921,0.002921
23,1693.7,0.66804,0.43754,1.29341,0.91421,0.90125,0.92841,0.69832,0.79844,0.66471,1.4097,0.002822,0.002822,0.002822
24,1769.82,0.62138,0.43519,1.23543,0.94641,0.87867,0.93137,0.68415,0.83167,0.66883,1.46377,0.002723,0.002723,0.002723
25,1841.03,0.62518,0.39849,1.24288,0.93945,0.8806,0.936,0.69765,0.79994,0.64565,1.41743,0.002624,0.002624,0.002624
26,1914.07,0.61091,0.39213,1.21558,0.96426,0.89552,0.93383,0.70502,0.81737,0.65162,1.42932,0.002525,0.002525,0.002525
27,1985.89,0.58401,0.3723,1.18454,0.9442,0.89552,0.92825,0.6994,0.7987,0.64262,1.43569,0.002426,0.002426,0.002426
28,2056.46,0.56707,0.37417,1.1567,0.95279,0.87811,0.92268,0.69675,0.81021,0.70975,1.42018,0.002327,0.002327,0.002327
29,2127.68,0.54945,0.3771,1.14169,0.95138,0.8761,0.92107,0.69198,0.7673,0.70832,1.38241,0.002228,0.002228,0.002228
30,2203.94,0.54403,0.34259,1.14622,0.95437,0.88448,0.93329,0.70582,0.81488,0.638,1.45743,0.002129,0.002129,0.002129
31,2278.89,0.5388,0.32433,1.14734,0.93437,0.89055,0.92602,0.7057,0.75442,0.68657,1.37555,0.00203,0.00203,0.00203
32,2356.35,0.51197,0.32993,1.11482,0.93732,0.89303,0.91703,0.70014,0.78857,0.62617,1.43532,0.001931,0.001931,0.001931
33,2426.88,0.4917,0.30741,1.08082,0.96443,0.87677,0.9264,0.70878,0.78274,0.61001,1.4371,0.001832,0.001832,0.001832
34,2499.32,0.4671,0.30915,1.05384,0.93509,0.89582,0.92281,0.69928,0.80245,0.67974,1.43886,0.001733,0.001733,0.001733
35,2569.37,0.46443,0.29784,1.04981,0.95521,0.90178,0.92966,0.70931,0.79753,0.60072,1.46111,0.001634,0.001634,0.001634
36,2640.59,0.45071,0.28081,1.04465,0.93807,0.90431,0.92315,0.70955,0.80719,0.68157,1.41974,0.001535,0.001535,0.001535
37,2716.1,0.43215,0.26862,1.02226,0.94059,0.89552,0.92765,0.70501,0.81948,0.67587,1.47642,0.001436,0.001436,0.001436
38,2786.74,0.42724,0.28198,1.0089,0.95093,0.90299,0.92935,0.70616,0.80203,0.64961,1.43482,0.001337,0.001337,0.001337
39,2857.74,0.41303,0.26127,0.98842,0.95072,0.91185,0.94194,0.71768,0.78779,0.61597,1.44471,0.001238,0.001238,0.001238
40,2929.12,0.39762,0.25087,0.97651,0.93056,0.92537,0.93244,0.71355,0.79614,0.64379,1.48941,0.001139,0.001139,0.001139
41,2999.79,0.38517,0.24237,0.9639,0.92514,0.91294,0.93667,0.71829,0.80814,0.70144,1.50985,0.00104,0.00104,0.00104
42,3074.95,0.36847,0.23834,0.95169,0.95547,0.89552,0.93542,0.72043,0.77552,0.68591,1.4969,0.000941,0.000941,0.000941
43,3149.73,0.35634,0.22544,0.93988,0.95735,0.89332,0.93278,0.71982,0.75785,0.68521,1.44599,0.000842,0.000842,0.000842
44,3220.75,0.34983,0.22358,0.94106,0.94812,0.90921,0.93193,0.72233,0.77976,0.65038,1.4673,0.000743,0.000743,0.000743
45,3293.69,0.32714,0.20934,0.9089,0.95547,0.90742,0.92375,0.7174,0.79968,0.64108,1.51195,0.000644,0.000644,0.000644
46,3364.12,0.31914,0.22427,0.9007,0.95108,0.89801,0.92369,0.71312,0.7986,0.65588,1.52895,0.000545,0.000545,0.000545
47,3435.69,0.31994,0.21214,0.90746,0.95517,0.90111,0.92765,0.71322,0.79948,0.65053,1.52841,0.000446,0.000446,0.000446
48,3505.47,0.29311,0.19491,0.87854,0.9408,0.90929,0.92564,0.70939,0.81135,0.65526,1.5386,0.000347,0.000347,0.000347
49,3577.58,0.28115,0.19314,0.87456,0.96115,0.89055,0.93477,0.71859,0.79697,0.67057,1.53924,0.000248,0.000248,0.000248
50,3648.92,0.27617,0.18881,0.86344,0.96709,0.89303,0.92736,0.71417,0.79622,0.64966,1.53964,0.000149,0.000149,0.000149
