epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.271,1.69165,3.74561,2.40293,0.79518,0.74362,0.81289,0.49369,1.09431,1.10635,1.76292,0.00166407,0.00166407,0.0683827
2,246.117,1.19568,1.33366,1.87474,0.84914,0.77011,0.83495,0.50277,1.16649,1.02024,1.89414,0.00326478,0.00326478,0.0366501
3,368.471,1.23758,1.29784,1.95081,0.85826,0.68408,0.77306,0.46882,1.18322,1.16245,1.84493,0.0047995,0.0047995,0.0048515
4,494.297,1.23164,1.28085,1.93213,0.80289,0.72139,0.79752,0.51998,1.04509,1.04772,1.70593,0.004703,0.004703,0.004703
5,613.268,1.20056,1.25281,1.8883,0.84606,0.73829,0.8195,0.49539,1.12738,1.14969,1.89479,0.004604,0.004604,0.004604
6,737.893,1.15936,1.16989,1.86005,0.86132,0.78797,0.85196,0.52916,1.14227,0.98001,1.86826,0.004505,0.004505,0.004505
7,856.17,1.13024,1.06029,1.82756,0.89904,0.82338,0.86364,0.52825,1.0941,1.09986,1.76145,0.004406,0.004406,0.004406
8,977.881,1.07272,0.98164,1.77091,0.90755,0.8209,0.89135,0.60897,0.94178,0.84282,1.57374,0.004307,0.004307,0.004307
9,1101.48,0.99035,0.86316,1.66011,0.91409,0.82052,0.87307,0.56924,1.03255,0.91774,1.6894,0.004208,0.004208,0.004208
10,1221.86,0.9989,0.82365,1.6855,0.92217,0.8547,0.9001,0.60019,1.00142,0.78423,1.67614,0.004109,0.004109,0.004109
11,1344.84,0.94509,0.76868,1.6135,0.93091,0.83794,0.9017,0.61307,1.0029,0.75301,1.63783,0.00401,0.00401,0.00401
12,1469.32,0.91047,0.70212,1.58739,0.9123,0.85397,0.90564,0.62149,0.96515,0.69374,1.59146,0.003911,0.003911,0.003911
13,1588.89,0.87229,0.65851,1.53893,0.92642,0.87693,0.91915,0.63272,0.95053,0.73662,1.57332,0.003812,0.003812,0.003812
14,1707.39,0.86387,0.6518,1.51501,0.95414,0.86567,0.93326,0.65964,0.9125,0.68765,1.56907,0.003713,0.003713,0.003713
15,1831.48,0.83488,0.6108,1.48119,0.94983,0.84778,0.90472,0.64186,0.93068,0.81573,1.53917,0.003614,0.003614,0.003614
16,1954.35,0.79446,0.61096,1.43809,0.92268,0.87811,0.91433,0.65949,0.85185,0.70677,1.47926,0.003515,0.003515,0.003515
17,2075.24,0.78343,0.56735,1.42867,0.9302,0.82882,0.89992,0.63285,0.9283,0.77824,1.54416,0.003416,0.003416,0.003416
18,2195.85,0.75254,0.53919,1.39586,0.93231,0.87313,0.92314,0.63651,0.84213,0.62119,1.4654,0.003317,0.003317,0.003317
19,2314.67,0.72817,0.50051,1.35577,0.94737,0.89561,0.93307,0.68613,0.84271,0.59973,1.48523,0.003218,0.003218,0.003218
20,2437.09,0.71421,0.50672,1.34804,0.94478,0.87313,0.92983,0.6677,0.87036,0.65811,1.47292,0.003119,0.003119,0.003119
21,2557.23,0.68629,0.46277,1.30671,0.92289,0.89316,0.93599,0.68421,0.82532,0.60348,1.45602,0.00302,0.00302,0.00302
22,2678.62,0.6824,0.44586,1.32935,0.93993,0.9005,0.93679,0.67685,0.80614,0.69472,1.39973,0.002921,0.002921,0.002921
23,2801.32,0.65307,0.44211,1.28049,0.94438,0.88699,0.92093,0.68029,0.82904,0.64035,1.45213,0.002822,0.002822,0.002822
24,2926.38,0.62052,0.41737,1.23572,0.95482,0.89378,0.93546,0.68568,0.8381,0.66187,1.46919,0.002723,0.002723,0.002723
25,3049.99,0.61973,0.40239,1.25181,0.9516,0.88035,0.93993,0.70105,0.84313,0.56534,1.47784,0.002624,0.002624,0.002624
26,3172.2,0.58585,0.37769,1.19088,0.94138,0.90796,0.94288,0.7005,0.79647,0.57564,1.42264,0.002525,0.002525,0.002525
27,3293.48,0.5547,0.35703,1.15604,0.94806,0.91045,0.94126,0.7021,0.78372,0.62302,1.40893,0.002426,0.002426,0.002426
28,3415.68,0.53468,0.35304,1.12967,0.93524,0.89552,0.92825,0.69438,0.79888,0.63324,1.45407,0.002327,0.002327,0.002327
29,3532.14,0.51865,0.3646,1.10579,0.95834,0.87811,0.92367,0.68476,0.75894,0.6169,1.38291,0.002228,0.002228,0.002228
30,3655.05,0.52399,0.32421,1.1236,0.93324,0.90411,0.94131,0.70356,0.79144,0.57387,1.40776,0.002129,0.002129,0.002129
31,3771.49,0.50543,0.31698,1.11538,0.95327,0.90299,0.94392,0.71283,0.77839,0.61624,1.42827,0.00203,0.00203,0.00203
32,3891.32,0.47744,0.32048,1.07925,0.95589,0.91294,0.9463,0.72395,0.7789,0.53699,1.45538,0.001931,0.001931,0.001931
33,4014.6,0.45496,0.30162,1.04514,0.95251,0.89817,0.92922,0.71191,0.77192,0.58796,1.4293,0.001832,0.001832,0.001832
34,4138,0.43674,0.28457,1.01794,0.96539,0.90214,0.94475,0.70368,0.77172,0.58922,1.43538,0.001733,0.001733,0.001733
35,4255.87,0.42705,0.27895,1.01589,0.96484,0.88742,0.93107,0.70863,0.79073,0.61952,1.4953,0.001634,0.001634,0.001634
36,4380.05,0.4213,0.27246,1.01643,0.95453,0.89303,0.93429,0.69572,0.79113,0.63856,1.45827,0.001535,0.001535,0.001535
37,4498.88,0.40214,0.25563,0.98623,0.95111,0.91542,0.94324,0.71379,0.74505,0.57751,1.42018,0.001436,0.001436,0.001436
38,4618.98,0.38505,0.26853,0.95885,0.94595,0.91423,0.94515,0.70941,0.77428,0.5768,1.47498,0.001337,0.001337,0.001337
39,4739.58,0.36612,0.24678,0.94422,0.94129,0.89552,0.92924,0.71154,0.76842,0.61189,1.46923,0.001238,0.001238,0.001238
40,4862.44,0.35976,0.24221,0.94108,0.95631,0.89552,0.93863,0.72033,0.76194,0.59627,1.47251,0.001139,0.001139,0.001139
41,4985.95,0.34743,0.2309,0.92818,0.94704,0.9005,0.94546,0.71482,0.76054,0.59805,1.49154,0.00104,0.00104,0.00104
42,5102.2,0.32185,0.22346,0.90453,0.96465,0.88249,0.93925,0.71143,0.76125,0.63831,1.49255,0.000941,0.000941,0.000941
43,5225.36,0.31947,0.21777,0.90262,0.95465,0.90299,0.93921,0.71135,0.74815,0.61162,1.48534,0.000842,0.000842,0.000842
44,5345.06,0.31882,0.21381,0.90976,0.93962,0.90796,0.93702,0.71152,0.75209,0.61459,1.46707,0.000743,0.000743,0.000743
45,5464.49,0.28624,0.19984,0.86602,0.95396,0.9005,0.94044,0.71525,0.76668,0.62044,1.50833,0.000644,0.000644,0.000644
46,5584.43,0.28047,0.21109,0.86455,0.9228,0.92181,0.94672,0.71455,0.76666,0.63014,1.51536,0.000545,0.000545,0.000545
47,5702.42,0.27392,0.19489,0.87008,0.95092,0.89303,0.93888,0.71618,0.75648,0.60745,1.51642,0.000446,0.000446,0.000446
