epoch,map,mar
1,0.18419335782527924,0.3177121877670288
2,0.4867069125175476,0.5715867280960083
3,0.5537622570991516,0.6191881895065308
4,0.5620659589767456,0.622509241104126
5,0.5487655997276306,0.6125461459159851
6,0.597058892250061,0.6690036654472351
7,0.6114466786384583,0.6822878122329712
8,0.6297300457954407,0.7018449902534485
9,0.6186078786849976,0.6715866923332214
10,0.6416581869125366,0.6955719590187073
11,0.5416068434715271,0.6025830507278442
12,0.6740981936454773,0.7265682816505432
13,0.6742660403251648,0.7450184226036072
14,0.6893917322158813,0.740221381187439
15,0.6894944906234741,0.7453874349594116
16,0.6606031656265259,0.73247230052948
17,0.7138286828994751,0.759778618812561
18,0.7066367268562317,0.7664206624031067
19,0.6966778635978699,0.7512915134429932
20,0.6936745643615723,0.7579335570335388
21,0.7180846333503723,0.7726937532424927
22,0.7159757614135742,0.7701107263565063
23,0.7147761583328247,0.7697417140007019
24,0.7141716480255127,0.7686346769332886
25,0.7159664034843445,0.7697417140007019
26,0.7101520299911499,0.7671586871147156
27,0.7157736420631409,0.7686346769332886
28,0.7107265591621399,0.7645756602287292
29,0.7079653143882751,0.7608855962753296
30,0.7107319831848145,0.762730598449707
