split,mAP,mAP50,mAP75,mAP_tiny,mAP_small_rel,mAP_medium_rel,mAP_large_rel,AR100,image_AUROC,image_AP,FPR@95TPR,in_domain_FPR@95TPR,out_domain_FPR@95TPR,detections,negative_fppi
val,0.5949269265367038,0.9068097886172052,0.6734244218725636,0.09409922210214118,0.36099419001785354,0.49455883399249084,0.6602219049393089,0.6761194029850747,0.9836193181818181,0.9673219181222743,0.06666666666666667,0.10478359908883828,0.012861736334405145,12989,0.11066666666666666
test,0.630198719859031,0.9279590204875251,0.7443291163807974,0.13221500005572157,0.3429460169945916,0.6124836710890433,0.7089020797690848,0.6944584382871537,0.990320987654321,0.9824663895583434,0.05333333333333334,0.0888382687927107,0.003215434083601286,12429,0.09733333333333333
