split,mAP,mAP50,mAP75,mAP_tiny,mAP_small_rel,mAP_medium_rel,mAP_large_rel,AR100,image_AUROC,image_AP,FPR@95TPR,in_domain_FPR@95TPR,out_domain_FPR@95TPR,detections,negative_fppi
val,0.6053047676386453,0.9370760866947281,0.6859471025865731,0.2031597465844101,0.36978410254620414,0.4936586889974492,0.6588866993385994,0.686318407960199,0.990719696969697,0.9793269855912435,0.024,0.0387243735763098,0.003215434083601286,8787,0.088
test,0.6371747653154866,0.9481360970697331,0.7347868417657467,0.19295199655288517,0.34688196276899536,0.5973642389489365,0.7189912778303604,0.71183879093199,0.9927407407407407,0.9865042304078785,0.036,0.05922551252847381,0.003215434083601286,8473,0.07333333333333333
