epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.362,1.59398,28.959,2.23587,0.76649,0.57157,0.65535,0.41389,1.17281,1.21559,1.78024,0.00166407,0.00166407,0.0683827
2,399.662,1.24254,1.21624,1.89405,0.84711,0.699,0.79695,0.50183,1.08971,0.9411,1.73013,0.00326478,0.00326478,0.0366501
3,544.34,1.22842,1.07206,1.86539,0.6532,0.5796,0.64309,0.37534,1.20506,1.41733,1.82723,0.0047995,0.0047995,0.0048515
4,685.169,1.22266,1.08872,1.84888,0.75461,0.62189,0.71279,0.45339,1.15362,1.10179,1.80991,0.004703,0.004703,0.004703
5,817.543,1.22057,1.0236,1.8412,0.75295,0.62168,0.67956,0.45516,1.03879,1.21074,1.66485,0.004604,0.004604,0.004604
6,962.793,1.149,0.93963,1.76106,0.72952,0.64179,0.7002,0.44031,1.10849,1.19059,1.73568,0.004505,0.004505,0.004505
7,1112.31,1.07946,0.9774,1.70182,0.74257,0.6745,0.74775,0.47679,1.11297,0.94837,1.70321,0.004406,0.004406,0.004406
8,1254.16,1.03899,0.84293,1.66254,0.77688,0.7622,0.83249,0.54719,1.02896,0.89013,1.71682,0.004307,0.004307,0.004307
9,1400.09,0.98737,0.76791,1.6025,0.86074,0.78411,0.86405,0.58328,0.99168,0.81956,1.60009,0.004208,0.004208,0.004208
10,1539.48,0.9875,0.70981,1.6119,0.91688,0.74378,0.86935,0.57989,0.97706,0.76707,1.58936,0.004109,0.004109,0.004109
11,1665.91,0.935,0.67344,1.53105,0.81078,0.76743,0.82788,0.55628,0.99819,0.92945,1.59712,0.00401,0.00401,0.00401
12,1797.28,0.91168,0.62494,1.52424,0.86181,0.76866,0.84312,0.58443,0.93508,0.8473,1.52219,0.003911,0.003911,0.003911
13,1933.62,0.85341,0.61109,1.44273,0.79333,0.81165,0.85978,0.58963,0.98753,0.7161,1.5706,0.003812,0.003812,0.003812
14,2092.43,0.84952,0.57663,1.43723,0.8882,0.78358,0.88173,0.62269,0.86095,0.69639,1.46836,0.003713,0.003713,0.003713
15,2244.64,0.83911,0.50859,1.42548,0.83385,0.84891,0.87732,0.59275,0.98866,0.7535,1.56519,0.003614,0.003614,0.003614
16,2393.31,0.78736,0.48591,1.35994,0.85177,0.85762,0.88911,0.63991,0.86746,0.77667,1.46869,0.003515,0.003515,0.003515
17,2557,0.76754,0.43246,1.34105,0.89153,0.82338,0.88696,0.62033,0.88724,0.70102,1.45506,0.003416,0.003416,0.003416
18,2706.23,0.74485,0.41347,1.32906,0.86743,0.83085,0.90498,0.63441,0.8692,0.63601,1.46193,0.003317,0.003317,0.003317
19,2865.8,0.6824,0.40357,1.25055,0.87208,0.82836,0.90208,0.63905,0.86836,0.67672,1.50324,0.003218,0.003218,0.003218
20,3015.51,0.67896,0.38048,1.25593,0.82391,0.86128,0.89524,0.64317,0.85225,0.65333,1.41669,0.003119,0.003119,0.003119
21,3180.11,0.66781,0.38702,1.22871,0.86281,0.82914,0.88076,0.63823,0.8431,0.69795,1.44547,0.00302,0.00302,0.00302
22,3345.48,0.65344,0.36975,1.23077,0.9295,0.81996,0.89336,0.6384,0.84888,0.65021,1.47221,0.002921,0.002921,0.002921
23,3509.69,0.61782,0.33579,1.18082,0.90102,0.83785,0.89039,0.6388,0.86294,0.79475,1.42084,0.002822,0.002822,0.002822
24,3653.19,0.58815,0.31274,1.14241,0.89244,0.82563,0.8964,0.64786,0.84237,0.71059,1.40119,0.002723,0.002723,0.002723
25,3811.6,0.5844,0.30845,1.14443,0.85508,0.81343,0.88797,0.63887,0.83809,0.7094,1.42373,0.002624,0.002624,0.002624
26,3972.24,0.54946,0.30661,1.09765,0.92746,0.82338,0.92283,0.65595,0.84773,0.66896,1.44494,0.002525,0.002525,0.002525
