epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0705,1.7928,3.37466,2.43148,0.80275,0.70149,0.77714,0.46096,1.20467,1.26526,1.7971,0.00166407,0.00166407,0.0683827
2,188.66,1.22289,1.23738,1.87538,0.86899,0.73134,0.82863,0.50639,1.14218,1.15022,1.78126,0.00326478,0.00326478,0.0366501
3,282.524,1.19958,1.14419,1.8787,0.89251,0.79602,0.84228,0.51807,1.08788,1.07695,1.72611,0.0047995,0.0047995,0.0048515
4,384.107,1.15182,1.0857,1.8091,0.88335,0.7723,0.8605,0.54404,1.05273,0.92848,1.72427,0.004703,0.004703,0.004703
5,482.143,1.11956,1.01273,1.76701,0.85247,0.81933,0.88742,0.59278,1.00339,0.90959,1.63607,0.004604,0.004604,0.004604
6,579.516,1.05489,0.95038,1.70317,0.91458,0.83333,0.88658,0.59287,1.04671,0.82336,1.68813,0.004505,0.004505,0.004505
7,678.372,1.01395,0.87299,1.66339,0.89111,0.8209,0.8664,0.547,1.04802,0.99598,1.66329,0.004406,0.004406,0.004406
8,777.019,0.97308,0.82578,1.6208,0.92328,0.86817,0.90836,0.62108,0.91519,0.71139,1.56577,0.004307,0.004307,0.004307
9,873.522,0.93209,0.76069,1.56547,0.92055,0.86466,0.89749,0.60307,0.90858,0.7782,1.54353,0.004208,0.004208,0.004208
10,965.455,0.92303,0.71029,1.56437,0.90269,0.8769,0.9154,0.63071,0.92703,0.69105,1.53435,0.004109,0.004109,0.004109
11,1056.84,0.84618,0.62158,1.46862,0.92905,0.85075,0.88876,0.60443,0.93655,0.76582,1.53735,0.00401,0.00401,0.00401
12,1150.27,0.8396,0.59708,1.47982,0.94096,0.86816,0.90813,0.63824,0.87901,0.68274,1.44453,0.003911,0.003911,0.003911
13,1244.22,0.78944,0.56235,1.41598,0.94985,0.84826,0.90828,0.64511,0.88027,0.68759,1.467,0.003812,0.003812,0.003812
14,1339.48,0.78775,0.55949,1.39124,0.92274,0.87562,0.91398,0.66503,0.85534,0.72175,1.48556,0.003713,0.003713,0.003713
15,1435.81,0.73414,0.51709,1.3449,0.90405,0.8806,0.9168,0.65239,0.88503,0.68492,1.51254,0.003614,0.003614,0.003614
16,1536.84,0.70362,0.50899,1.30688,0.92077,0.89055,0.92176,0.66125,0.88059,0.66484,1.50602,0.003515,0.003515,0.003515
17,1635.1,0.68253,0.46323,1.28866,0.92133,0.88557,0.91646,0.6468,0.89507,0.69876,1.54944,0.003416,0.003416,0.003416
18,1729.33,0.65559,0.44675,1.26474,0.96039,0.90462,0.93841,0.66835,0.80899,0.59665,1.43397,0.003317,0.003317,0.003317
19,1825.36,0.62823,0.41807,1.21891,0.94514,0.89992,0.93944,0.68616,0.79948,0.61124,1.41826,0.003218,0.003218,0.003218
20,1922.64,0.61463,0.4251,1.2048,0.92872,0.90547,0.93503,0.68367,0.8271,0.57983,1.48556,0.003119,0.003119,0.003119
21,2023.02,0.59191,0.38312,1.18253,0.95504,0.89833,0.93618,0.69061,0.77631,0.62228,1.41022,0.00302,0.00302,0.00302
22,2115.32,0.57225,0.39195,1.16978,0.94261,0.90547,0.93786,0.67969,0.81295,0.60643,1.44531,0.002921,0.002921,0.002921
23,2209.44,0.55041,0.35481,1.13357,0.96238,0.89091,0.93289,0.68111,0.83357,0.59612,1.49456,0.002822,0.002822,0.002822
24,2306.77,0.51459,0.35442,1.08475,0.95489,0.89507,0.93208,0.68657,0.83431,0.59824,1.48713,0.002723,0.002723,0.002723
25,2402.53,0.50166,0.3401,1.08573,0.94394,0.9005,0.93719,0.69345,0.78442,0.60017,1.43739,0.002624,0.002624,0.002624
26,2497.78,0.48873,0.32913,1.05799,0.95588,0.90547,0.92666,0.67499,0.81637,0.65549,1.49433,0.002525,0.002525,0.002525
27,2594.68,0.45985,0.31352,1.02143,0.94818,0.9103,0.93481,0.70084,0.76958,0.63384,1.43103,0.002426,0.002426,0.002426
28,2687.36,0.44345,0.2969,1.00148,0.9615,0.86981,0.92443,0.6897,0.79507,0.63025,1.46293,0.002327,0.002327,0.002327
29,2785.75,0.41302,0.31503,0.97221,0.93917,0.92169,0.93514,0.68502,0.76731,0.50251,1.45366,0.002228,0.002228,0.002228
30,2879.97,0.42584,0.28916,0.99212,0.93654,0.91045,0.93184,0.68216,0.79314,0.60197,1.48763,0.002129,0.002129,0.002129
31,2977.69,0.40016,0.2717,0.98294,0.97019,0.89041,0.93463,0.69457,0.78252,0.66984,1.45799,0.00203,0.00203,0.00203
32,3074.46,0.38676,0.27254,0.96561,0.96874,0.90796,0.94502,0.70248,0.79536,0.63262,1.48472,0.001931,0.001931,0.001931
33,3166.81,0.36985,0.25249,0.93726,0.95116,0.92041,0.93516,0.68935,0.78717,0.60131,1.47788,0.001832,0.001832,0.001832
34,3260.38,0.34765,0.24453,0.9125,0.95323,0.91542,0.93362,0.68172,0.77436,0.61952,1.51296,0.001733,0.001733,0.001733
35,3354.15,0.34261,0.24694,0.91676,0.96598,0.90796,0.9418,0.69868,0.75984,0.57517,1.45243,0.001634,0.001634,0.001634
36,3452.55,0.3367,0.24095,0.91075,0.94812,0.92289,0.94535,0.70236,0.76174,0.59284,1.47464,0.001535,0.001535,0.001535
37,3550.36,0.32205,0.22386,0.89165,0.95867,0.92326,0.93596,0.70428,0.77483,0.58785,1.50845,0.001436,0.001436,0.001436
38,3647.73,0.3054,0.23735,0.87244,0.96282,0.9204,0.92878,0.69119,0.7905,0.5784,1.54602,0.001337,0.001337,0.001337
