epoch,map,mar
1,0.20596040785312653,0.3088560998439789
2,0.44235149025917053,0.5250922441482544
3,0.5687454342842102,0.6357933282852173
4,0.5709901452064514,0.6306273341178894
5,0.5628271698951721,0.6435424089431763
6,0.6247398853302002,0.6808118224143982
7,0.6228188276290894,0.6933579444885254
8,0.6050195097923279,0.6738007664680481
9,0.645213782787323,0.698523998260498
10,0.6312062740325928,0.7025830149650574
11,0.6542534232139587,0.7029520273208618
12,0.6431711316108704,0.7070110440254211
13,0.6464410424232483,0.721771240234375
14,0.6740222573280334,0.7413284182548523
15,0.6545916199684143,0.7446494698524475
16,0.6686339974403381,0.7413284182548523
17,0.7055023312568665,0.7616236209869385
18,0.6962066888809204,0.7579335570335388
19,0.6842408776283264,0.7446494698524475
20,0.6891904473304749,0.7564575672149658
21,0.7014675140380859,0.7642066478729248
22,0.6798496842384338,0.7446494698524475
23,0.6888529062271118,0.7586715817451477
24,0.6973649263381958,0.7630996108055115
25,0.6936187148094177,0.7538745403289795
26,0.6959648728370667,0.7560885548591614
27,0.6923106908798218,0.7557195425033569
28,0.6962552666664124,0.759778618812561
29,0.6940256953239441,0.7564575672149658
30,0.6910486221313477,0.7542435526847839
