split,mAP,mAP50,mAP75,mAP_tiny,mAP_small_rel,mAP_medium_rel,mAP_large_rel,AR100,image_AUROC,image_AP,FPR@95TPR,in_domain_FPR@95TPR,out_domain_FPR@95TPR,detections,negative_fppi
val,0.00208198214368344,0.006207521511282785,0.0025003462921944983,0.0,3.415253306776323e-08,0.00024212186497795686,0.002523218209722833,0.08358208955223881,0.7938787878787879,0.5949313140587696,0.556,0.7425968109339408,0.29260450160771706,110200,0.0
test,0.0009004037042527109,0.004756034623327754,0.0002046748787876436,2.8781947962238086e-06,2.96279104541544e-06,0.00022248160753372167,0.0014787363954617376,0.1133501259445844,0.7864159544159545,0.586168844597936,0.5826666666666667,0.785876993166287,0.2958199356913183,110100,0.0
