epoch,map,mar
1,0.16750241816043854,0.28487086296081543
2,0.46728411316871643,0.5494465231895447
3,0.5362380743026733,0.6018450260162354
4,0.5509222149848938,0.6439114212989807
5,0.5977596640586853,0.6719557046890259
6,0.6142064332962036,0.6719557046890259
7,0.5920092463493347,0.6509225368499756
8,0.6118780970573425,0.6940959692001343
9,0.6672463417053223,0.7416974306106567
10,0.6305006742477417,0.7044280171394348
11,0.6557767987251282,0.7125461101531982
12,0.6590599417686462,0.7118081450462341
13,0.6500626802444458,0.7254612445831299
14,0.6818144917488098,0.7376383543014526
15,0.6926769018173218,0.7457564473152161
16,0.6894333958625793,0.7601476311683655
17,0.6911414861679077,0.7542435526847839
18,0.6822381615638733,0.7487084865570068
19,0.6741015911102295,0.7431734204292297
20,0.6903154253959656,0.7501844763755798
21,0.7150863409042358,0.769003689289093
22,0.7045137882232666,0.7616236209869385
23,0.7043411731719971,0.7516605257987976
24,0.6883857846260071,0.7472324967384338
25,0.6934395432472229,0.7498155236244202
26,0.6943218111991882,0.747970461845398
27,0.6969165802001953,0.7483394742012024
28,0.6880793571472168,0.7424353957176208
29,0.6933536529541016,0.7439114451408386
30,0.693213939666748,0.7435424327850342
